date,amount,category
2024-06-18,788,Education
2024-08-06,1397,Education
2024-10-01,1488,Shopping
2024-11-30,627,Entertainment
2024-06-25,1092,Shopping
2024-03-21,1212,Food
2024-10-17,847,Transport
2024-08-31,624,Bills
2024-12-11,864,Bills
2024-11-15,1317,Food
2024-06-20,1307,Food
2024-08-13,1573,Groceries
2024-08-09,163,Bills
2024-02-20,683,Transport
2024-04-04,1484,Bills
2024-06-25,788,Shopping
2024-01-03,71,Entertainment
2024-10-20,968,Entertainment
2024-04-30,96,Transport
2024-12-21,1243,Education
2024-01-25,1273,Education
2024-08-26,810,Bills
2024-01-04,1961,Education
2024-12-04,1238,Shopping
2024-08-13,970,Education
2024-09-23,1683,Education
2024-02-29,1393,Transport
2024-09-20,165,Groceries
2024-04-05,613,Food
2024-10-13,1550,Groceries
2024-09-06,1690,Entertainment
2024-06-07,1798,Entertainment
2024-07-06,1172,Food
2024-10-15,1192,Transport
2024-04-22,1765,Food
2024-03-29,504,Entertainment
2024-10-17,1393,Groceries
2024-03-13,998,Education
2024-12-01,1140,Groceries
2024-02-18,1312,Groceries
2024-01-13,1297,Education
2024-06-30,1695,Bills
2024-06-24,1106,Food
2024-09-18,1269,Shopping
2024-03-01,97,Transport
2024-02-16,103,Education
2024-08-11,1842,Bills
2024-04-17,1424,Groceries
2024-02-10,886,Entertainment
2024-09-13,1732,Education
2024-10-19,1715,Entertainment
2024-02-09,592,Transport
2024-03-13,830,Entertainment
2024-09-19,1567,Groceries
2024-06-24,1389,Education
2024-06-20,157,Education
2024-09-20,1677,Bills
2024-02-23,1856,Shopping
2024-09-08,1153,Groceries
2024-03-25,1076,Groceries
2024-01-11,758,Bills
2024-06-10,299,Transport
2024-10-17,986,Bills
2024-05-31,1255,Bills
2024-10-17,785,Groceries
2024-04-09,600,Shopping
2024-07-09,239,Shopping
2024-02-04,804,Entertainment
2024-05-15,1202,Food
2024-09-11,1908,Bills
2024-03-21,710,Education
2024-07-14,1327,Bills
2024-03-10,1964,Groceries
2024-05-12,1586,Transport
2024-06-27,263,Entertainment
2024-04-13,988,Education
2024-10-06,1437,Bills
2024-01-13,1109,Food
2024-05-11,543,Entertainment
2024-08-05,1757,Food
2024-06-09,849,Groceries
2024-10-05,1598,Shopping
2024-06-02,1624,Transport
2024-02-05,1172,Shopping
2024-05-26,1300,Shopping
2024-01-09,684,Entertainment
2024-04-08,1978,Groceries
2024-06-16,780,Bills
2024-05-31,633,Groceries
2024-08-29,702,Shopping
2024-12-14,1905,Transport
2024-09-11,450,Food
2024-02-28,922,Entertainment
2024-05-12,1373,Transport
2024-06-05,1696,Bills
2024-11-11,1689,Bills
2024-12-19,1165,Shopping
2024-10-21,1341,Food
2024-11-15,1355,Transport
2024-04-26,1726,Groceries
2024-05-07,1268,Food
2024-07-20,726,Transport
2024-06-26,1746,Transport
2024-01-27,543,Groceries
2024-04-08,1594,Education
2024-12-19,1113,Education
2024-10-29,1721,Entertainment
2024-02-22,1419,Food
2024-10-25,1177,Shopping
2024-04-01,1681,Groceries
2024-11-23,1036,Entertainment
2024-11-16,1081,Bills
2024-11-13,61,Education
2024-04-17,542,Education
2024-01-17,1585,Food
2024-06-25,1635,Entertainment
2024-10-29,1902,Shopping
2024-12-30,1721,Shopping
2024-08-11,195,Transport
2024-10-29,350,Entertainment
2024-02-22,387,Food
2024-04-08,1306,Food
2024-09-05,1350,Shopping
2024-02-05,1055,Groceries
2024-10-11,182,Transport
2024-08-30,344,Entertainment
2024-10-14,104,Bills
2024-02-18,769,Groceries
2024-09-30,1214,Education
2024-07-26,541,Entertainment
2024-09-23,431,Groceries
2024-10-16,1248,Entertainment
2024-12-02,1780,Education
2024-12-24,975,Education
2024-04-06,1124,Bills
2024-10-08,916,Entertainment
2024-07-08,1229,Groceries
2024-08-15,1925,Entertainment
2024-01-20,445,Bills
2024-01-25,861,Transport
2024-01-05,1431,Entertainment
2024-05-30,1746,Bills
2024-06-06,1179,Shopping
2024-10-12,873,Transport
2024-10-14,1519,Transport
2024-02-09,570,Education
2024-09-13,1434,Entertainment
2024-08-18,1157,Groceries
2024-11-01,855,Transport
2024-04-11,1291,Groceries
2024-08-13,1468,Education
2024-11-22,1930,Food
2024-01-25,958,Entertainment
2024-05-30,1737,Shopping
2024-10-29,1896,Education
2024-06-08,1447,Food
2024-03-12,1644,Education
2024-03-14,1082,Shopping
2024-09-23,1913,Transport
2024-05-28,335,Groceries
2024-05-13,1743,Groceries
2024-08-29,548,Shopping
2024-10-09,876,Transport
2024-07-11,573,Education
2024-04-06,599,Bills
2024-02-02,1748,Shopping
2024-11-11,391,Groceries
2024-06-21,1449,Groceries
2024-07-21,885,Food
2024-02-28,402,Education
2024-08-26,263,Transport
2024-04-02,494,Entertainment
2024-05-05,88,Shopping
2024-06-17,1006,Food
2024-03-19,1719,Education
2024-08-22,782,Shopping
2024-12-13,1195,Shopping
2024-09-29,204,Shopping
2024-11-06,1266,Entertainment
2024-11-03,1784,Food
2024-05-09,877,Groceries
2024-10-03,121,Entertainment
2024-02-27,183,Shopping
2024-09-07,1315,Transport
2024-06-09,1030,Food
2024-09-23,151,Groceries
2024-03-03,334,Bills
2024-02-02,78,Education
2024-10-27,237,Education
2024-10-20,393,Food
2024-05-23,1837,Food
2024-03-21,1636,Transport
2024-09-14,1832,Shopping
2024-03-30,898,Shopping
2024-11-13,892,Transport
2024-02-12,1915,Shopping
2024-02-03,1543,Transport
2024-01-23,1104,Education
2024-10-31,654,Groceries
2024-07-13,330,Transport
2024-08-26,412,Transport
2024-02-22,997,Shopping
2024-03-20,319,Entertainment
2024-06-03,240,Education
2024-04-16,456,Groceries
2024-06-12,310,Entertainment
2024-12-14,513,Food
2024-01-12,841,Education
2024-07-16,110,Education
2024-04-11,1683,Entertainment
2024-04-03,1492,Transport
2024-02-15,938,Entertainment
2024-06-27,812,Bills
2024-10-22,562,Transport
2024-05-31,453,Food
2024-01-12,714,Groceries
2024-11-06,1269,Groceries
2024-09-25,1754,Education
2024-05-27,118,Bills
2024-01-05,1060,Groceries
2024-01-01,1151,Transport
2024-11-21,583,Transport
2024-07-20,722,Entertainment
2024-07-29,484,Bills
2024-05-12,56,Education
2024-02-15,427,Entertainment
2024-05-10,1171,Education
2024-05-07,1404,Food
2024-04-12,1845,Groceries
2024-05-20,940,Groceries
2024-10-19,1800,Bills
2024-10-15,1450,Transport
2024-10-30,1732,Food
2024-02-05,278,Transport
2024-12-21,1584,Transport
2024-11-06,560,Transport
2024-02-11,1926,Bills
2024-08-11,1403,Shopping
2024-10-22,1852,Bills
2024-07-05,1186,Bills
2024-11-23,1867,Groceries
2024-03-30,50,Transport
2024-11-01,259,Education
2024-06-15,1133,Groceries
2024-07-10,506,Shopping
2024-08-23,1455,Education
2024-06-21,1508,Transport
2024-05-30,1925,Entertainment
2024-03-17,1791,Education
2024-06-10,1531,Bills
2024-10-27,60,Entertainment
2024-12-07,1906,Shopping
2024-07-16,1745,Food
2024-08-17,87,Food
2024-06-27,1006,Shopping
2024-10-17,643,Groceries
2024-05-08,1414,Entertainment
2024-10-28,1680,Shopping
2024-09-12,1861,Groceries
2024-12-10,139,Groceries
2024-09-18,133,Education
2024-05-12,1936,Transport
2024-05-08,1404,Entertainment
2024-04-12,54,Shopping
2024-08-30,1772,Food
2024-03-29,515,Education
2024-03-29,1193,Education
2024-11-03,1886,Entertainment
2024-10-31,1168,Transport
2024-01-14,1080,Groceries
2024-09-09,842,Groceries
2024-09-05,875,Education
2024-12-01,1064,Groceries
2024-05-09,1649,Bills
2024-06-16,1650,Shopping
2024-06-26,1737,Shopping
2024-09-12,983,Bills
2024-04-30,370,Groceries
2024-04-20,1219,Transport
2024-12-30,1007,Bills
2024-04-03,1120,Shopping
2024-02-21,1457,Shopping
2024-07-12,683,Shopping
2024-07-25,968,Transport
2024-06-11,441,Food
2024-09-09,1620,Transport
2024-06-23,1203,Education
2024-01-30,1729,Groceries
2024-10-08,450,Education
2024-08-20,1186,Education
2024-08-28,986,Education
2024-06-08,475,Education
2024-04-10,324,Education
2024-10-30,1644,Education
2024-11-15,323,Entertainment
2024-02-08,618,Shopping
2024-06-21,100,Transport
2024-06-02,166,Bills
2024-10-26,711,Groceries
2024-09-16,658,Groceries
2024-10-08,1365,Bills
2024-06-13,1090,Bills
2024-12-17,718,Entertainment
2024-04-04,387,Entertainment
2024-08-17,825,Groceries
2024-04-26,384,Education
2024-12-08,92,Groceries
2024-08-07,589,Shopping
2024-11-30,1554,Transport
2024-08-05,874,Education
2024-02-16,189,Transport
2024-05-23,900,Shopping
2024-10-09,1458,Food
2024-10-12,922,Shopping
2024-01-12,1246,Groceries
2024-08-18,534,Food
2024-10-06,343,Food
2024-12-17,1269,Education
2024-10-03,1005,Food
2024-02-07,826,Transport
2024-03-08,210,Food
2024-10-03,373,Groceries
2024-10-14,603,Groceries
2024-12-14,839,Shopping
2024-10-17,1491,Bills
2024-06-14,243,Entertainment
2024-08-10,231,Bills
2024-06-20,776,Groceries
2024-01-27,1095,Education
2024-05-23,1224,Shopping
2024-10-27,266,Shopping
2024-05-26,1584,Food
2024-06-12,1302,Shopping
2024-10-11,1629,Shopping
2024-04-17,1975,Entertainment
2024-12-15,565,Transport
2024-05-07,538,Food
2024-12-07,1573,Bills
2024-09-01,247,Entertainment
2024-10-21,1913,Bills
2024-12-17,1221,Food
2024-11-29,1875,Groceries
2024-11-27,952,Entertainment
2024-06-01,100,Shopping
2024-07-21,896,Transport
2024-09-02,571,Shopping
2024-08-20,1685,Shopping
2024-04-11,819,Groceries
2024-01-10,1994,Transport
2024-10-10,314,Shopping
2024-11-18,1731,Groceries
2024-04-02,825,Shopping
2024-06-29,868,Bills
2024-07-20,1716,Entertainment
2024-10-26,116,Groceries
2024-02-19,1785,Groceries
2024-12-10,1218,Entertainment
2024-09-09,739,Groceries
2024-05-06,352,Transport
2024-10-20,124,Bills
2024-04-12,1094,Food
2024-12-11,1478,Bills
2024-09-18,595,Transport
2024-07-05,1415,Shopping
2024-03-28,380,Food
2024-02-10,1161,Entertainment
2024-06-24,1974,Education
2024-07-09,1895,Food
2024-05-03,419,Shopping
2024-05-27,1844,Food
2024-06-27,440,Bills
2024-05-10,1341,Entertainment
2024-03-18,1452,Transport
2024-11-20,1132,Entertainment
2024-04-24,397,Groceries
2024-12-01,1220,Education
2024-08-29,1042,Groceries
2024-08-24,163,Groceries
2024-06-21,721,Shopping
2024-09-24,86,Shopping
2024-02-23,317,Transport
2024-03-02,1346,Shopping
2024-03-27,1453,Bills
2024-09-13,67,Bills
2024-07-15,567,Transport
2024-02-24,147,Bills
2024-08-30,1374,Entertainment
2024-10-08,1093,Entertainment
2024-11-17,55,Transport
2024-11-09,199,Shopping
2024-06-05,64,Bills
2024-09-03,362,Bills
2024-06-06,425,Education
2024-04-13,1689,Bills
2024-02-02,829,Food
2024-04-09,1593,Entertainment
2024-10-19,236,Education
2024-06-24,295,Shopping
2024-06-18,1405,Education
2024-12-25,1774,Bills
2024-11-10,1811,Transport
2024-02-16,1230,Bills
2024-11-29,285,Transport
2024-01-29,1244,Food
2024-03-08,1366,Groceries
2024-12-22,1983,Education
2024-01-12,915,Education
2024-11-13,1654,Transport
2024-05-31,99,Groceries
2024-12-14,367,Education
2024-10-12,403,Groceries
2024-06-08,52,Education
2024-09-06,72,Shopping
2024-03-12,1612,Entertainment
2024-01-19,1931,Shopping
2024-07-07,1145,Food
2024-04-09,1446,Food
2024-04-05,1027,Shopping
2024-09-20,1064,Entertainment
2024-09-26,299,Education
2024-09-22,1540,Groceries
2024-01-13,970,Shopping
2024-12-18,1710,Bills
2024-06-15,890,Food
2024-07-10,1293,Entertainment
2024-02-03,983,Bills
2024-03-02,1483,Transport
2024-05-28,616,Bills
2024-08-03,1218,Education
2024-12-12,1227,Groceries
2024-08-24,537,Shopping
2024-11-02,1558,Food
2024-08-10,984,Shopping
2024-09-15,894,Transport
2024-08-24,769,Food
2024-11-02,1298,Food
2024-01-29,1590,Shopping
2024-12-09,570,Food
2024-10-31,1117,Education
2024-01-26,808,Shopping
2024-08-11,904,Food
2024-04-26,1672,Bills
2024-12-21,732,Bills
2024-05-10,662,Food
2024-02-27,996,Education
2024-10-31,936,Entertainment
2024-07-08,1325,Food
2024-05-09,303,Groceries
2024-01-13,194,Transport
2024-10-30,1206,Groceries
2024-10-07,1905,Education
2024-06-23,639,Bills
2024-04-10,474,Transport
2024-01-14,665,Bills
2024-12-05,834,Transport
2024-01-03,1029,Groceries
2024-05-22,774,Entertainment
2024-12-01,1183,Groceries
2024-10-15,468,Food
2024-05-13,1062,Food
2024-01-05,1595,Bills
2024-10-28,1422,Food
2024-01-16,565,Shopping
2024-12-29,494,Shopping
2024-02-08,763,Transport
2024-08-30,934,Education
2024-06-28,74,Bills
2024-10-03,275,Food
2024-08-20,1681,Food
2024-10-04,86,Education
2024-04-11,1508,Education
2024-12-25,1396,Shopping
2024-01-29,863,Education
2024-01-15,1230,Food
2024-11-06,1737,Transport
2024-04-20,1391,Entertainment
2024-03-16,450,Entertainment
2024-07-19,1432,Bills
2024-07-20,1210,Bills
2024-04-06,847,Food
2024-12-11,813,Food
2024-09-28,746,Education
2024-08-28,792,Food
2024-11-07,1629,Entertainment
2024-06-13,367,Food
2024-04-21,1655,Transport
2024-04-01,1179,Bills
2024-03-01,721,Transport
2024-04-08,559,Food
2024-04-26,790,Shopping
2024-12-22,725,Shopping
2024-10-29,816,Transport
2024-10-22,762,Bills
2024-06-29,158,Shopping
2024-12-13,1579,Food
2024-10-08,1365,Bills
2024-11-10,1913,Education
2024-08-20,1022,Food
2024-09-16,766,Transport
2024-09-19,1157,Groceries
2024-08-01,1350,Groceries
2024-06-21,504,Bills
2024-05-28,680,Groceries
2024-07-14,666,Shopping
2024-09-27,570,Groceries
2024-01-12,1279,Entertainment
2024-09-15,1959,Shopping
2024-04-17,1053,Shopping
2024-03-26,1568,Entertainment
2024-04-29,71,Education
2024-08-04,462,Shopping
2024-04-22,748,Food
2024-10-17,1229,Groceries
2024-07-28,435,Bills
2024-10-05,1903,Shopping
2024-03-25,312,Groceries
2024-09-29,504,Entertainment
2024-08-14,1620,Food
2024-02-13,1693,Food
2024-07-20,642,Bills
2024-09-20,141,Food
2024-05-27,141,Entertainment
2024-12-06,1302,Transport
2024-04-21,450,Transport
2024-05-28,78,Bills
2024-10-14,744,Entertainment
2024-11-25,1566,Education
2024-02-25,1396,Education
2024-12-11,1088,Food
2024-05-22,798,Food
2024-12-13,1763,Entertainment
2024-08-09,1973,Food
2024-06-14,298,Transport
2024-12-29,988,Bills
2024-05-17,1596,Groceries
2024-12-14,436,Entertainment
2024-12-13,83,Transport
2024-12-28,351,Bills
2024-03-13,203,Bills
2024-08-16,1236,Entertainment
2024-02-15,801,Transport
2024-10-07,1197,Groceries
2024-09-22,1361,Education
2024-11-14,856,Education
2024-05-16,759,Food
2024-11-04,1056,Bills
2024-08-11,1374,Education
2024-03-22,1624,Education
2024-02-10,1489,Entertainment
2024-08-18,1563,Food
2024-12-01,841,Shopping
2024-06-25,776,Education
2024-12-15,926,Shopping
2024-12-07,776,Shopping
2024-10-24,1488,Food
2024-10-17,1282,Groceries
2024-04-26,978,Shopping
2024-05-09,51,Food
2024-06-18,1710,Groceries
2024-05-08,1200,Shopping
2024-06-14,91,Groceries
2024-09-14,1382,Food
2024-03-06,1983,Transport
2024-05-10,1944,Bills
2024-03-29,609,Shopping
2024-11-11,319,Transport
2024-01-12,705,Shopping
2024-01-16,1234,Education
2024-09-22,1678,Entertainment
2024-07-12,1514,Transport
2024-04-15,808,Transport
2024-03-28,145,Bills
2024-12-18,697,Groceries
2024-05-30,1852,Food
2024-09-09,1940,Transport
2024-03-20,1745,Entertainment
2024-12-25,1590,Groceries
2024-05-26,1158,Bills
2024-05-29,1510,Transport
2024-06-06,799,Food
2024-08-03,1231,Groceries
2024-10-11,719,Bills
2024-12-24,150,Groceries
2024-10-21,1597,Education
2024-01-07,300,Entertainment
2024-05-27,800,Bills
2024-09-29,1625,Groceries
2024-05-31,921,Food
2024-06-12,402,Groceries
2024-11-08,1509,Bills
2024-01-20,1437,Entertainment
2024-09-08,1143,Shopping
2024-02-07,1024,Education
2024-03-09,934,Shopping
2024-11-03,1294,Groceries
2024-11-07,1425,Entertainment
2024-03-13,823,Entertainment
2024-07-10,1262,Shopping
2024-01-21,1625,Entertainment
2024-11-07,1581,Shopping
2024-06-09,1299,Groceries
2024-09-20,388,Education
2024-12-03,600,Food
2024-03-07,1653,Transport
2024-05-26,171,Entertainment
2024-09-15,555,Education
2024-11-23,1337,Entertainment
2024-03-23,1129,Groceries
2024-04-27,487,Transport
2024-08-23,1442,Transport
2024-10-15,778,Entertainment
2024-05-04,1263,Shopping
2024-08-14,812,Education
2024-12-07,619,Shopping
2024-05-22,760,Groceries
2024-10-28,1399,Groceries
2024-06-18,1112,Shopping
2024-12-17,1648,Food
2024-04-21,395,Food
2024-05-09,394,Groceries
2024-03-30,586,Bills
2024-12-15,1890,Entertainment
2024-08-09,384,Education
2024-09-07,1289,Entertainment
2024-05-03,1274,Food
2024-04-12,967,Entertainment
2024-10-29,758,Transport
2024-04-26,775,Entertainment
2024-12-30,1459,Transport
2024-01-26,1293,Groceries
2024-08-01,105,Transport
2024-09-07,377,Education
2024-10-09,1466,Shopping
2024-01-01,1488,Shopping
2024-12-14,1176,Food
2024-06-15,1255,Shopping
2024-04-27,1177,Groceries
2024-12-25,949,Transport
2024-11-11,966,Groceries
2024-03-03,1545,Food
2024-10-09,1884,Bills
2024-09-27,100,Groceries
2024-12-25,66,Education
2024-10-26,356,Entertainment
2024-10-03,850,Food
2024-04-12,124,Transport
2024-09-03,1489,Food
2024-01-29,684,Education
2024-09-20,672,Transport
2024-12-14,1251,Bills
2024-06-18,627,Food
2024-06-11,122,Groceries
2024-01-27,1356,Food
2024-09-18,1961,Education
2024-08-19,856,Bills
2024-03-05,423,Transport
2024-05-01,1131,Shopping
2024-06-20,148,Food
2024-01-25,91,Education
2024-08-27,247,Food
2024-03-30,1995,Shopping
2024-08-13,1611,Education
2024-08-10,767,Shopping
2024-03-08,1152,Groceries
2024-04-15,192,Entertainment
2024-09-13,853,Transport
2024-06-12,765,Education
2024-06-21,1524,Shopping
2024-12-15,1129,Transport
2024-05-09,1911,Groceries
2024-08-02,1236,Shopping
2024-04-07,738,Transport
2024-04-21,1300,Food
2024-03-29,1347,Food
2024-01-15,788,Transport
2024-10-06,1110,Food
2024-08-23,1513,Education
2024-06-08,1728,Groceries
2024-10-19,711,Groceries
2024-07-26,1236,Food
2024-08-29,533,Education
2024-10-19,1206,Bills
2024-05-14,865,Food
2024-01-28,534,Transport
2024-07-25,205,Entertainment
2024-05-22,311,Groceries
2024-03-13,1996,Transport
2024-01-05,1842,Food
2024-03-16,793,Entertainment
2024-02-04,637,Transport
2024-04-24,770,Bills
2024-08-01,1370,Bills
2024-12-29,1032,Education
2024-02-29,1126,Shopping
2024-02-05,1697,Bills
2024-11-01,1940,Shopping
2024-04-13,1493,Food
2024-04-06,193,Food
2024-10-15,274,Entertainment
2024-09-27,1859,Education
2024-08-29,742,Entertainment
2024-05-26,865,Food
2024-06-10,1629,Food
2024-11-22,610,Bills
2024-11-10,713,Food
2024-09-16,1179,Food
2024-11-15,703,Transport
2024-06-26,1257,Entertainment
2024-03-17,1830,Entertainment
2024-01-12,539,Groceries
2024-04-01,1078,Transport
2024-07-23,102,Transport
2024-05-10,1578,Food
2024-10-15,871,Groceries
2024-05-31,1005,Entertainment
2024-10-19,1801,Food
2024-06-24,1162,Entertainment
2024-05-05,1293,Shopping
2024-01-28,575,Transport
2024-09-07,595,Education
2024-05-23,1721,Groceries
2024-02-16,1605,Shopping
2024-01-02,131,Bills
2024-02-23,377,Bills
2024-06-20,1895,Groceries
2024-12-03,147,Transport
2024-10-11,746,Shopping
2024-12-24,447,Food
2024-04-10,1052,Shopping
2024-11-08,812,Transport
2024-03-30,725,Shopping
2024-03-17,1818,Entertainment
2024-01-22,509,Food
2024-07-06,1549,Food
2024-02-21,1966,Groceries
2024-08-28,1240,Groceries
2024-03-16,800,Shopping
2024-04-01,1241,Education
2024-07-17,1226,Education
2024-06-13,774,Transport
2024-09-17,428,Food
2024-03-30,410,Entertainment
2024-12-22,1807,Shopping
2024-04-16,1194,Entertainment
2024-05-19,1013,Education
2024-07-22,1443,Entertainment
2024-04-15,257,Groceries
2024-04-05,1732,Shopping
2024-08-07,565,Entertainment
2024-08-02,1214,Bills
2024-11-12,525,Shopping
2024-03-13,1972,Groceries
2024-01-02,1945,Food
2024-10-29,1970,Bills
2024-02-05,1001,Groceries
2024-11-08,1032,Bills
2024-03-27,801,Entertainment
2024-04-09,580,Groceries
2024-08-30,948,Transport
2024-03-06,77,Entertainment
2024-05-27,738,Bills
2024-04-28,520,Bills
2024-01-06,1446,Food
2024-10-10,1022,Education
2024-11-03,908,Transport
2024-07-11,481,Education
2024-01-08,422,Shopping
2024-05-07,1602,Bills
2024-11-21,124,Bills
2024-05-30,1133,Groceries
2024-01-07,872,Bills
2024-12-07,1290,Transport
2024-06-21,1629,Shopping
2024-01-05,926,Transport
2024-09-11,1291,Food
2024-02-05,1515,Groceries
2024-05-04,1319,Entertainment
2024-04-22,57,Transport
2024-07-17,1089,Education
2024-04-04,230,Food
2024-12-07,1332,Groceries
2024-08-18,1362,Bills
2024-04-22,1459,Food
2024-12-06,1852,Transport
2024-10-22,138,Bills
2024-02-09,1187,Education
2024-06-27,849,Bills
2024-06-02,1775,Groceries
2024-10-10,1159,Food
2024-11-06,943,Education
2024-07-29,1667,Entertainment
2024-06-28,884,Groceries
2024-10-07,286,Bills
2024-01-26,386,Transport
2024-01-14,1371,Entertainment
2024-08-31,1174,Groceries
2024-08-18,63,Entertainment
2024-11-11,367,Entertainment
2024-07-10,435,Food
2024-07-04,1721,Shopping
2024-12-05,1548,Shopping
2024-04-03,167,Transport
2024-09-26,251,Food
2024-07-01,985,Education
2024-12-03,963,Food
2024-06-25,1312,Transport
2024-01-13,221,Transport
2024-04-12,1296,Education
2024-07-22,1823,Shopping
2024-12-27,1773,Entertainment
2024-09-15,1943,Transport
2024-03-03,525,Bills
2024-04-26,1888,Groceries
2024-10-05,446,Entertainment
2024-04-04,399,Transport
2024-11-28,502,Groceries
2024-12-12,524,Bills
2024-12-07,1703,Bills
2024-07-13,1722,Education
2024-05-11,638,Groceries
2024-09-25,808,Education
2024-05-07,1873,Groceries
2024-04-29,103,Food
2024-08-28,1093,Education
2024-05-09,1157,Entertainment
2024-09-28,1958,Shopping
2024-04-05,996,Entertainment
2024-07-04,1115,Shopping
2024-06-06,495,Groceries
2024-12-10,797,Food
2024-10-20,1579,Transport
2024-03-16,1988,Shopping
2024-12-07,1947,Bills
2024-06-01,192,Bills
2024-06-06,155,Groceries
2024-03-03,1763,Groceries
2024-07-17,1635,Entertainment
2024-11-18,1690,Education
2024-10-14,883,Shopping
2024-02-20,1438,Food
2024-08-29,985,Entertainment
2024-08-12,239,Food
2024-05-31,1232,Education
2024-01-29,715,Bills
2024-05-05,135,Transport
2024-05-07,1219,Bills
2024-02-24,1949,Food
2024-10-18,1205,Shopping
2024-07-06,1358,Bills
2024-02-27,430,Groceries
2024-05-28,209,Groceries
2024-07-16,1112,Bills
2024-03-22,1527,Entertainment
